year,unit_id,name,unit_type,old_origin_year,new_origin_year,old_age_years,new_age_years,basis,confidence,predecessor_id,predecessor_name,predecessor_year,note
1989,adm_1989_105,Ленинск-Кузнецкий район,район,,1947,,42,v122_name_parent_backfill_1989,high,adm_1979_108,Ленинск-Кузнецкий,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_108,Чистоозерный район,район,1970,1926,19,63,v122_name_parent_backfill_1989,high,adm_1979_113,Чистоозерный,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_109,Марьяновский район,район,1970,1939,19,50,v122_name_parent_backfill_1989,high,adm_1979_114,Марьяновский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_111,Промышленновский район,район,,1939,,50,v122_name_parent_backfill_1989,high,adm_1979_116,Промышленновский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_112,Кормиловский район,район,1970,1926,19,63,v122_name_parent_backfill_1989,high,adm_1979_118,Кормиловский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_118,Крапивинский район,район,,1926,,63,v122_name_parent_backfill_1989,high,adm_1979_127,Крапивинский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_125,Мошковский район,район,1979,1930,10,59,v122_name_parent_backfill_1989,high,adm_1979_252,Мошковский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_128+adm_1989_260,Топкинский район,район,,1926,,63,v122_name_parent_backfill_1989,high,adm_1979_137,Топкинский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_13,Курьинский район,район,1970,1926,19,63,v122_name_parent_backfill_1989,high,adm_1979_14,Курьинский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_133,Кемеровский район,район,,1947,,42,v122_name_parent_backfill_1989,high,adm_1979_143,Кемеровский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_138,Болотнинский район,район,1930,1926,59,63,v122_name_parent_backfill_1989,high,adm_1979_149,Болотнинский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_140,Саргатский район,район,1970,1926,19,63,v122_name_parent_backfill_1989,high,adm_1979_153,Саргатский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_141,Чебулинский район,район,,1926,,63,v122_name_parent_backfill_1989,high,adm_1979_154,Чебулинский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_142,Юргинский район,район,,1926,,63,v122_name_parent_backfill_1989,high,adm_1979_155,Юргинский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
